OrderYear,OrderMonth,IsWeekendOrder,Quantity,UnitPrice,TotalPrice,ItemsInCart,CartFillRatio,HasCoupon,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,CouponCode_FREESHIP,CouponCode_NoCoupon,CouponCode_SAVE10,CouponCode_WINTER15,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,OrderStatus,IsCancelled,IsReturned,IsCancelledOrReturned
2023,1,0,5,570.62,2853.1,7,0.714,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,Shipped,0,0,0
2024,8,0,2,151.35,302.7,3,0.667,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Shipped,0,0,0
2024,2,0,5,550.68,2753.4,8,0.625,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Cancelled,1,0,1
2023,10,1,1,273.19,273.19,5,0.2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Returned,0,1,1
2025,5,0,4,626.01,2504.04,8,0.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Delivered,0,0,0
2023,10,0,2,245.86,491.72,4,0.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Shipped,0,0,0
2025,6,0,1,664.42,664.42,6,0.167,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Returned,0,1,1
2023,5,0,5,149.55,747.75,9,0.556,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Shipped,0,0,0
2025,4,0,2,134.28,268.56,2,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Cancelled,1,0,1
2023,11,0,4,509.38,2037.52,6,0.667,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Shipped,0,0,0
2023,12,0,5,625.97,3129.85,9,0.556,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Returned,0,1,1
2024,2,1,3,49.14,147.42,7,0.429,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Returned,0,1,1
2024,10,0,2,180.5,361.0,6,0.333,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Pending,0,0,0
2023,8,0,3,201.49,604.47,4,0.75,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Returned,0,1,1
2023,3,0,2,393.33,786.66,3,0.667,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,Pending,0,0,0
2023,7,0,1,473.96,473.96,3,0.333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Delivered,0,0,0
2023,1,0,2,533.81,1067.62,3,0.667,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Pending,0,0,0
2024,3,1,1,423.4,423.4,3,0.333,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Shipped,0,0,0
2025,3,0,1,431.44,431.44,3,0.333,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Pending,0,0,0
2023,1,0,5,224.0,1120.0,9,0.556,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Returned,0,1,1
2023,5,0,5,62.51,312.55,9,0.556,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Pending,0,0,0
2024,11,1,4,342.95,1371.8,6,0.667,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Delivered,0,0,0
2023,1,1,2,49.62,99.24,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,Pending,0,0,0
2025,4,0,4,273.25,1093.0,5,0.8,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Cancelled,1,0,1
2024,10,0,2,230.95,461.9,3,0.667,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Delivered,0,0,0
2024,7,0,1,399.98,399.98,3,0.333,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Delivered,0,0,0
2024,3,0,5,59.55,297.75,6,0.833,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Delivered,0,0,0
2024,2,0,1,472.74,472.74,6,0.167,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Shipped,0,0,0
2023,11,0,4,160.07,640.28,5,0.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Pending,0,0,0
2024,9,0,3,423.53,1270.59,6,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Delivered,0,0,0
2025,3,1,2,426.7,853.4,5,0.4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Pending,0,0,0
2023,6,0,3,500.08,1500.24,6,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Returned,0,1,1
2023,5,0,5,536.72,2683.6,10,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Delivered,0,0,0
2023,6,0,1,162.77,162.77,4,0.25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Cancelled,1,0,1
2023,1,1,4,576.52,2306.08,5,0.8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Pending,0,0,0
2024,12,1,2,465.15,930.3,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Shipped,0,0,0
2025,5,0,2,534.43,1068.86,5,0.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Pending,0,0,0
2024,10,0,2,76.74,153.48,7,0.286,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Returned,0,1,1
2024,12,0,1,245.89,245.89,3,0.333,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Delivered,0,0,0
2025,2,0,3,256.46,769.3799999999999,4,0.75,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Delivered,0,0,0
2023,8,1,2,344.02,688.04,4,0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Delivered,0,0,0
2023,12,0,3,611.45,1834.35,4,0.75,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Pending,0,0,0
2024,5,0,2,151.66,303.32,6,0.333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Cancelled,1,0,1
2023,12,0,3,499.21,1497.63,8,0.375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Cancelled,1,0,1
2025,4,0,2,550.18,1100.36,3,0.667,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Returned,0,1,1
2024,2,1,1,317.25,317.25,1,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Returned,0,1,1
2024,6,0,4,550.14,2200.56,4,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Pending,0,0,0
2023,7,0,2,209.94,419.88,3,0.667,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Returned,0,1,1
2023,8,1,2,80.77,161.54,4,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Shipped,0,0,0
2023,10,1,1,30.44,30.44,1,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Shipped,0,0,0
